Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1487802249.870530, 1487802249.870530, -1.079041, -0.180298, -0.320984, +2.458315, +2.979026, +1.896814 
1487802249.883930, 1487802249.883930, -1.079346, -0.180298, -0.320984, +2.458315, +2.979026, +1.896814 
1487802249.888402, 1487802249.888402, -1.079346, -0.180298, -0.320984, +2.518130, +3.076225, +1.889337 
1487802249.892147, 1487802249.892147, -1.079346, -0.180298, -0.320984, +2.518130, +3.076225, +1.889337 
1487802249.895882, 1487802249.895882, -1.079346, -0.180298, -0.320984, +2.518130, +3.076225, +1.889337 
1487802249.899630, 1487802249.899630, -1.080200, -0.176270, -0.311951, +2.450838, +3.091178, +1.754755 
1487802249.903368, 1487802249.903368, -1.080200, -0.176270, -0.311951, +2.450838, +3.091178, +1.754755 
1487802249.907110, 1487802249.907110, -1.080200, -0.176270, -0.311951, +2.450838, +3.091178, +1.754755 
1487802249.910890, 1487802249.910890, -1.080200, -0.176270, -0.311951, +2.301302, +2.934165, +1.522974 
1487802249.915803, 1487802249.915803, -1.080200, -0.176270, -0.311951, +2.301302, +2.934165, +1.522974 
1487802249.919597, 1487802249.919597, -1.075439, -0.175659, -0.311340, +1.860171, +2.807060, +1.522974 
1487802249.923337, 1487802249.923337, -1.075439, -0.175659, -0.311340, +1.860171, +2.807060, +1.522974 
1487802249.927079, 1487802249.927079, -1.075439, -0.175659, -0.311340, +1.860171, +2.807060, +1.522974 
1487802249.930881, 1487802249.930881, -1.075439, -0.175659, -0.311340, +1.673250, +2.941642, +1.246332 
1487802249.934614, 1487802249.934614, -1.075439, -0.175659, -0.311340, +1.673250, +2.941642, +1.246332 
1487802249.938405, 1487802249.938405, -1.076355, -0.179321, -0.317322, +1.673250, +2.941642, +1.246332 
1487802249.942143, 1487802249.942143, -1.076355, -0.179321, -0.317322, +1.366701, +2.762199, +0.857538 
1487802249.945878, 1487802249.945878, -1.076355, -0.179321, -0.317322, +1.366701, +2.762199, +0.857538 
1487802249.949622, 1487802249.949622, -1.076355, -0.179321, -0.317322, +1.366701, +2.762199, +0.857538 
1487802249.953363, 1487802249.953363, -1.076355, -0.179321, -0.317322, +1.695681, +2.784629, +0.827631 
1487802249.957110, 1487802249.957110, -1.076355, -0.179321, -0.315247, +1.695681, +2.784629, +0.827631 
1487802249.961071, 1487802249.961071, -1.079529, -0.179260, -0.315247, +1.695681, +2.784629, +0.827631 
1487802249.964817, 1487802249.964817, -1.079529, -0.179260, -0.315247, +1.209688, +2.201438, +0.603326 
1487802249.968712, 1487802249.968712, -1.079529, -0.179260, -0.315247, +1.209688, +2.201438, +0.603326 
1487802249.972455, 1487802249.972455, -1.079529, -0.179260, -0.315247, +1.209688, +2.201438, +0.603326 
1487802249.976200, 1487802249.976200, -1.079529, -0.179260, -0.315247, +1.815310, +2.171531, +0.379022 
1487802249.979948, 1487802249.979948, -1.076904, -0.183289, -0.316345, +1.815310, +2.171531, +0.379022 
1487802249.983685, 1487802249.983685, -1.076904, -0.183289, -0.316345, +1.815310, +2.171531, +0.379022 
